preference_key,movie_title,star_cast,rating,year,place,vote,link
1,쇼생크 탈출,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.235802756711411,1994,1,,/title/tt0111161/
2,Daeboo,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155829287387125,1972,2,,/title/tt0068646/
3,다크 나이트,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.991826042532656,2008,3,,/title/tt0468569/
4,The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983832358978841,1974,4,,/title/tt0071562/
1,12명의 성난 사람들,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.953238450722765,1957,5,,/title/tt0050083/
2,쉰들러 리스트,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.940230210116056,1993,6,,/title/tt0108052/
3,반지의 제왕: 왕의 귀환,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.93266784917538,2003,7,,/title/tt0167260/
4,펄프 픽션,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.84620225561176,1994,8,,/title/tt0110912/
1,반지의 제왕: 반지 원정대,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811188092020961,2001,9,,/title/tt0120737/
2, 석양의 무법자,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.78876911865127,1966,1,,/title/tt0060196/
3,포레스트 검프,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.766547989566089,1994,11,,/title/tt0109830/
4,파이트 클럽,"David Fincher (dir.), Brad Pitt, Edward Norton",8.747672246001096,1999,12,,/title/tt0137523/
1,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.73686971281014,2002,13,,/title/tt0167261/
2,인셉션,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732625814672133,2010,14,,/title/tt1375666/
3,스타워즈 에피소드 5 - 제국의 역습,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.698328905280022,1980,15,,/title/tt0080684/
4,매트릭스,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669143553233399,1999,16,,/title/tt0133093/
1,좋은 친구들,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.653303696078343,1990,17,,/title/tt0099685/
2,뻐꾸기 둥지 위로 날아간 새,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.637724117949782,1975,18,,/title/tt0073486/
3,세븐,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604619648707027,1995,19,,/title/tt0114369/
4,7인의 사무라이,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.597617258783908,1954,20,,/title/tt0047478/
1,멋진 인생,"Frank Capra (dir.), James Stewart, Donna Reed",8.597571984549388,1946,21,,/title/tt0038650/
2,양들의 침묵,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.58832935210058,1991,22,,/title/tt0102926/
3,라이언 일병 구하기,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.579796739760976,1998,23,,/title/tt0120815/
4,시티 오브 갓,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579276911706705,2002,24,,/title/tt0317248/
1,인터스텔라,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.572513385434704,2014,25,,/title/tt0816692/
2,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.568647092124426,1997,26,,/title/tt0118799/
3,그린 마일,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.563659791398583,1999,27,,/title/tt0120689/
4,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.547661447590666,1977,28,,/title/tt0076759/
1,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.53820275575383,1991,29,,/title/tt0103064/
2,빽 투 더 퓨쳐,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517861669450125,1985,30,,/title/tt0088763/
3,센과 치히로의 행방불명,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515802493021225,2001,31,,/title/tt0245429/
4,피아니스트,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.507804430430113,2002,32,,/title/tt0253474/
1,싸이코,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.506189307339463,1960,33,,/title/tt0054215/
2,Gisaengchung,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.500303124014911,2019,34,,/title/tt6751668/
3,레옹,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.492446670661613,1994,35,,/title/tt0110413/
4,라이온 킹,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.48778546315929,1994,36,,/title/tt0110357/
1,글래디에이터,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.487168780019006,2000,37,,/title/tt0172495/
2,아메리칸 히스토리 X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.481303939534838,1998,38,,/title/tt0120586/
3,디파티드,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.476262097447222,2006,39,,/title/tt0407887/
4,프레스티지,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.46927295953249,2006,40,,/title/tt0482571/
1,위플래쉬,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.469169240014052,2014,41,,/title/tt2582802/
2,유주얼 서스펙트,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.468829323539797,1995,42,,/title/tt0114814/
3,카사블랑카,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.461185879454867,1942,43,,/title/tt0034583/
4,반딧불이의 묘,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.45647778454386,1988,44,,/title/tt0095327/
1,Seppuku,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.455948334987227,1962,45,,/title/tt0056058/
2,언터처블: 1%의 우정,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453205739866272,2011,46,,/title/tt1675434/
3,모던 타임즈,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.446643678922156,1936,47,,/title/tt0027977/
4,원스 어폰 어 타임 인 더 웨스트,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.440233132687089,1968,48,,/title/tt0064116/
1,시네마 천국,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.435607720146765,1988,49,,/title/tt0095765/
2,이창,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.435176169639142,1954,50,,/title/tt0047396/
3,에이리언,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.43324719521444,1979,51,,/title/tt0078748/
4,City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.431934136650684,1931,52,,/title/tt0021749/
1,지옥의 묵시록,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.422599650888909,1979,53,,/title/tt0078788/
2,메멘토,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.418912609747018,2000,54,,/title/tt0209144/
3,장고: 분노의 추적자,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.409356738095836,2012,55,,/title/tt1853728/
4,레이더스,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.40586539042541,1981,56,,/title/tt0082971/
1,월-E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.395459441412621,2008,57,,/title/tt0910970/
2,타인의 삶,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.383575881734648,2006,58,,/title/tt0405094/
3,Sunset Blvd,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.378789118411882,1950,59,,/title/tt0043014/
4,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.37145090297213,1957,60,,/title/tt0050825/
1,샤이닝,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.364845085714238,1980,61,,/title/tt0081505/
2,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.363733139531195,1940,62,,/title/tt0032553/
3,어벤져스: 인피니티 워,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.361900626573686,2018,63,,/title/tt4154756/
